
WLA DX: 6809 mnemonics listed in alphabetical order.

If you notice any errors or something is missing, please
open an issue @ https://github.com/vhelin/wla-dx


x = 8bit
? = 16bit
s = 5bit signed ([-16, +15])



"ABX" $3A
"SBCA (?)" $A29F
"SBCA (?,PCR)" $A29D
"SBCA (?,S)" $A2F9
"SBCA (?,U)" $A2D9
"SBCA (?,X)" $A299
"SBCA (?,Y)" $A2B9
"SBCA (A,S)" $A2F6
"SBCA (A,U)" $A2D6
"SBCA (A,X)" $A296
"SBCA (A,Y)" $A2B6
"SBCA (B,S)" $A2F5
"SBCA (B,U)" $A2D5
"SBCA (B,X)" $A295
"SBCA (B,Y)" $A2B5
"SBCA (D,S)" $A2FB
"SBCA (D,U)" $A2DB
"SBCA (D,X)" $A29B
"SBCA (D,Y)" $A2BB
"SBCA (x,PCR)" $A29C
"SBCA (x,S)" $A2F8
"SBCA (x,U)" $A2D8
"SBCA (x,X)" $A298
"SBCA (x,Y)" $A2B8
"SBCA ?" $B2
"SBCA ?,PCR" $A28D
"SBCA ?,S" $A2E9
"SBCA ?,U" $A2C9
"SBCA ?,X" $A289
"SBCA ?,Y" $A2A9
"SBCA A,S" $A2E6
"SBCA A,U" $A2C6
"SBCA A,X" $A286
"SBCA A,Y" $A2A6
"SBCA B,S" $A2E5
"SBCA B,U" $A2C5
"SBCA B,X" $A285
"SBCA B,Y" $A2A5
"SBCA D,S" $A2EB
"SBCA D,U" $A2CB
"SBCA D,X" $A28B
"SBCA D,Y" $A2AB
"SBCA s,S" $A260
"SBCA s,U" $A240
"SBCA s,X" $A200
"SBCA s,Y" $A220
"SBCA x" $92
"SBCA x,PCR" $A28C
"SBCA x,S" $A2E8
"SBCA x,U" $A2C8
"SBCA x,X" $A288
"SBCA x,Y" $A2A8
"SBCA,--S" $A2E3
"SBCA,--U" $A2C3
"SBCA,--X" $A283
"SBCA,--Y" $A2A3
"SBCA,-S" $A2E2
"SBCA,-U" $A2C2
"SBCA,-X" $A282
"SBCA,-Y" $A2A2
"SBCA,S" $A2E4
"SBCA,S+" $A2E0
"SBCA,S++" $A2E1
"SBCA,U" $A2C4
"SBCA,U+" $A2C0
"SBCA,U++" $A2C1
"SBCA,X" $A284
"SBCA,X+" $A280
"SBCA,X++" $A281
"SBCA,Y" $A2A4
"SBCA,Y+" $A2A0
"SBCA,Y++" $A2A1
"SBCB #x" $C2
"SBCB (,--S)" $E2F3
"SBCB (,--U)" $E2D3
"SBCB (,--X)" $E293
"SBCB (,--Y)" $E2B3
"SBCB (,S)" $E2F4
"SBCB (,S++)" $E2F1
"SBCB (,U)" $E2D4
"SBCB (,U++)" $E2D1
"SBCB (,X)" $E294
"SBCB (,X++)" $E291
"SBCB (,Y)" $E2B4
"SBCB (,Y++)" $E2B1
"SBCB (?)" $E29F
"SBCB (?,PCR)" $E29D
"SBCB (?,S)" $E2F9
"SBCB (?,U)" $E2D9
"SBCB (?,X)" $E299
"SBCB (?,Y)" $E2B9
"SBCB (A,S)" $E2F6
"SBCB (A,U)" $E2D6
"SBCB (A,X)" $E296
"SBCB (A,Y)" $E2B6
"SBCB (B,S)" $E2F5
"SBCB (B,U)" $E2D5
"SBCB (B,X)" $E295
"SBCB (B,Y)" $E2B5
"SBCB (D,S)" $E2FB
"SBCB (D,U)" $E2DB
"SBCB (D,X)" $E29B
"SBCB (D,Y)" $E2BB
"SBCB (x,PCR)" $E29C
"SBCB (x,S)" $E2F8
"SBCB (x,U)" $E2D8
"SBCB (x,X)" $E298
"SBCB (x,Y)" $E2B8
"SBCB ?" $F2
"SBCB ?,PCR" $E28D
"SBCB ?,S" $E2E9
"SBCB ?,U" $E2C9
"SBCB ?,X" $E289
"SBCB ?,Y" $E2A9
"SBCB A,S" $E2E6
"SBCB A,U" $E2C6
"SBCB A,X" $E286
"SBCB A,Y" $E2A6
"SBCB B,S" $E2E5
"SBCB B,U" $E2C5
"SBCB B,X" $E285
"SBCB B,Y" $E2A5
"SBCB D,S" $E2EB
"SBCB D,U" $E2CB
"SBCB D,X" $E28B
"SBCB D,Y" $E2AB
"SBCB s,S" $E260
"SBCB s,U" $E240
"SBCB s,X" $E200
"SBCB s,Y" $E220
"SBCB x" $D2
"SBCB x,PCR" $E28C
"SBCB x,S" $E2E8
"SBCB x,U" $E2C8
"SBCB x,X" $E288
"SBCB x,Y" $E2A8
"SBCB,--S" $E2E3
"SBCB,--U" $E2C3
"SBCB,--X" $E283
"SBCB,--Y" $E2A3
"SBCB,-S" $E2E2
"SBCB,-U" $E2C2
"SBCB,-X" $E282
"SBCB,-Y" $E2A2
"SBCB,S" $E2E4
"SBCB,S+" $E2E0
"SBCB,S++" $E2E1
"SBCB,U" $E2C4
"SBCB,U+" $E2C0
"SBCB,U++" $E2C1
"SBCB,X" $E284
"SBCB,X+" $E280
"SBCB,X++" $E281
"SBCB,Y" $E2A4
"SBCB,Y+" $E2A0
"SBCB,Y++" $E2A1
"SEX" $1D
"STA (,--S)" $A7F3
"STA (,--U)" $A7D3
"STA (,--X)" $A793
"STA (,--Y)" $A7B3
"STA (,S)" $A7F4
"STA (,S++)" $A7F1
"STA (,U)" $A7D4
"STA (,U++)" $A7D1
"STA (,X)" $A794
"STA (,X++)" $A791
"STA (,Y)" $A7B4
"STA (,Y++)" $A7B1
"STA (?)" $A79F
"STA (?,PCR)" $A79D
"STA (?,S)" $A7F9
"STA (?,U)" $A7D9
"STA (?,X)" $A799
"STA (?,Y)" $A7B9
"STA (A,S)" $A7F6
"STA (A,U)" $A7D6
"STA (A,X)" $A796
"STA (A,Y)" $A7B6
"STA (B,S)" $A7F5
"STA (B,U)" $A7D5
"STA (B,X)" $A795
"STA (B,Y)" $A7B5
"STA (D,S)" $A7FB
"STA (D,U)" $A7DB
"STA (D,X)" $A79B
"STA (D,Y)" $A7BB
"STA (x,PCR)" $A79C
"STA (x,S)" $A7F8
"STA (x,U)" $A7D8
"STA (x,X)" $A798
"STA (x,Y)" $A7B8
"STA ?" $B7
"STA ?,PCR" $A78D
"STA ?,S" $A7E9
"STA ?,U" $A7C9
"STA ?,X" $A789
"STA ?,Y" $A7A9
"STA A,S" $A7E6
"STA A,U" $A7C6
"STA A,X" $A786
"STA A,Y" $A7A6
"STA B,S" $A7E5
"STA B,U" $A7C5
"STA B,X" $A785
"STA B,Y" $A7A5
"STA D,S" $A7EB
"STA D,U" $A7CB
"STA D,X" $A78B
"STA D,Y" $A7AB
"STA s,S" $A760
"STA s,U" $A740
"STA s,X" $A700
"STA s,Y" $A720
"STA x" $97
"STA x,PCR" $A78C
"STA x,S" $A7E8
"STA x,U" $A7C8
"STA x,X" $A788
"STA x,Y" $A7A8
"STA,--S" $A7E3
"STA,--U" $A7C3
"STA,--X" $A783
"STA,--Y" $A7A3
"STA,-S" $A7E2
"STA,-U" $A7C2
"STA,-X" $A782
"STA,-Y" $A7A2
"STA,S" $A7E4
"STA,S+" $A7E0
"STA,S++" $A7E1
"STA,U" $A7C4
"STA,U+" $A7C0
"STA,U++" $A7C1
"STA,X" $A784
"STA,X+" $A780
"STA,X++" $A781
"STA,Y" $A7A4
"STA,Y+" $A7A0
"STA,Y++" $A7A1
"STB (,--S)" $E7F3
"STB (,--U)" $E7D3
"STB (,--X)" $E793
"STB (,--Y)" $E7B3
"STB (,S)" $E7F4
"STB (,S++)" $E7F1
"STB (,U)" $E7D4
"STB (,U++)" $E7D1
"STB (,X)" $E794
"STB (,X++)" $E791
"STB (,Y)" $E7B4
"STB (,Y++)" $E7B1
"STB (?)" $E79F
"STB (?,PCR)" $E79D
"STB (?,S)" $E7F9
"STB (?,U)" $E7D9
"STB (?,X)" $E799
"STB (?,Y)" $E7B9
"STB (A,S)" $E7F6
"STB (A,U)" $E7D6
"STB (A,X)" $E796
"STB (A,Y)" $E7B6
"STB (B,S)" $E7F5
"STB (B,U)" $E7D5
"STB (B,X)" $E795
"STB (B,Y)" $E7B5
"STB (D,S)" $E7FB
"STB (D,U)" $E7DB
"STB (D,X)" $E79B
"STB (D,Y)" $E7BB
"STB (x,PCR)" $E79C
"STB (x,S)" $E7F8
"STB (x,U)" $E7D8
"STB (x,X)" $E798
"STB (x,Y)" $E7B8
"STB ?" $F7
"STB ?,PCR" $E78D
"STB ?,S" $E7E9
"STB ?,U" $E7C9
"STB ?,X" $E789
"STB ?,Y" $E7A9
"STB A,S" $E7E6
"STB A,U" $E7C6
"STB A,X" $E786
"STB A,Y" $E7A6
"STB B,S" $E7E5
"STB B,U" $E7C5
"STB B,X" $E785
"STB B,Y" $E7A5
"STB D,S" $E7EB
"STB D,U" $E7CB
"STB D,X" $E78B
"STB D,Y" $E7AB
"STB s,S" $E760
"STB s,U" $E740
"STB s,X" $E700
"STB s,Y" $E720
"STB x" $D7
"STB x,PCR" $E78C
"STB x,S" $E7E8
"STB x,U" $E7C8
"STB x,X" $E788
"STB x,Y" $E7A8
"STB,--S" $E7E3
"STB,--U" $E7C3
"STB,--X" $E783
"STB,--Y" $E7A3
"STB,-S" $E7E2
"STB,-U" $E7C2
"STB,-X" $E782
"STB,-Y" $E7A2
"STB,S" $E7E4
"STB,S+" $E7E0
"STB,S++" $E7E1
"STB,U" $E7C4
"STB,U+" $E7C0
"STB,U++" $E7C1
"STB,X" $E784
"STB,X+" $E780
"STB,X++" $E781
"STB,Y" $E7A4
"STB,Y+" $E7A0
"STB,Y++" $E7A1
"STD (,--S)" $EDF3
"STD (,--U)" $EDD3
"STD (,--X)" $ED93
"STD (,--Y)" $EDB3
"STD (,S)" $EDF4
"STD (,S++)" $EDF1
"STD (,U)" $EDD4
"STD (,U++)" $EDD1
"STD (,X)" $ED94
"STD (,X++)" $ED91
"STD (,Y)" $EDB4
"STD (,Y++)" $EDB1
"STD (?)" $ED9F
"STD (?,PCR)" $ED9D
"STD (?,S)" $EDF9
"STD (?,U)" $EDD9
"STD (?,X)" $ED99
"STD (?,Y)" $EDB9
"STD (A,S)" $EDF6
"STD (A,U)" $EDD6
"STD (A,X)" $ED96
"STD (A,Y)" $EDB6
"STD (B,S)" $EDF5
"STD (B,U)" $EDD5
"STD (B,X)" $ED95
"STD (B,Y)" $EDB5
"STD (D,S)" $EDFB
"STD (D,U)" $EDDB
"STD (D,X)" $ED9B
"STD (D,Y)" $EDBB
"STD (x,PCR)" $ED9C
"STD (x,S)" $EDF8
"STD (x,U)" $EDD8
"STD (x,X)" $ED98
"STD (x,Y)" $EDB8
"STD ?" $FD
"STD ?,PCR" $ED8D
"STD ?,S" $EDE9
"STD ?,U" $EDC9
"STD ?,X" $ED89
"STD ?,Y" $EDA9
"STD A,S" $EDE6
"STD A,U" $EDC6
"STD A,X" $ED86
"STD A,Y" $EDA6
"STD B,S" $EDE5
"STD B,U" $EDC5
"STD B,X" $ED85
"STD B,Y" $EDA5
"STD D,S" $EDEB
"STD D,U" $EDCB
"STD D,X" $ED8B
"STD D,Y" $EDAB
"STD s,S" $ED60
"STD s,U" $ED40
"STD s,X" $ED00
"STD s,Y" $ED20
"STD x" $DD
"STD x,PCR" $ED8C
"STD x,S" $EDE8
"STD x,U" $EDC8
"STD x,X" $ED88
"STD x,Y" $EDA8
"STD,--S" $EDE3
"STD,--U" $EDC3
"STD,--X" $ED83
"STD,--Y" $EDA3
"STD,-S" $EDE2
"STD,-U" $EDC2
"STD,-X" $ED82
"STD,-Y" $EDA2
"STD,S" $EDE4
"STD,S+" $EDE0
"STD,S++" $EDE1
"STD,U" $EDC4
"STD,U+" $EDC0
"STD,U++" $EDC1
"STD,X" $ED84
"STD,X+" $ED80
"STD,X++" $ED81
"STD,Y" $EDA4
"STD,Y+" $EDA0
"STD,Y++" $EDA1
"STS (,--S)" $10EFF3
"STS (,--U)" $10EFD3
"STS (,--X)" $10EF93
"STS (,--Y)" $10EFB3
"STS (,S)" $10EFF4
"STS (,S++)" $10EFF1
"STS (,U)" $10EFD4
"STS (,U++)" $10EFD1
"STS (,X)" $10EF94
"STS (,X++)" $10EF91
"STS (,Y)" $10EFB4
"STS (,Y++)" $10EFB1
"STS (?)" $10EF9F
"STS (?,PCR)" $10EF9D
"STS (?,S)" $10EFF9
"STS (?,U)" $10EFD9
"STS (?,X)" $10EF99
"STS (?,Y)" $10EFB9
"STS (A,S)" $10EFF6
"STS (A,U)" $10EFD6
"STS (A,X)" $10EF96
"STS (A,Y)" $10EFB6
"STS (B,S)" $10EFF5
"STS (B,U)" $10EFD5
"STS (B,X)" $10EF95
"STS (B,Y)" $10EFB5
"STS (D,S)" $10EFFB
"STS (D,U)" $10EFDB
"STS (D,X)" $10EF9B
"STS (D,Y)" $10EFBB
"STS (x,PCR)" $10EF9C
"STS (x,S)" $10EFF8
"STS (x,U)" $10EFD8
"STS (x,X)" $10EF98
"STS (x,Y)" $10EFB8
"STS ?" $10FF
"STS ?,PCR" $10EF8D
"STS ?,S" $10EFE9
"STS ?,U" $10EFC9
"STS ?,X" $10EF89
"STS ?,Y" $10EFA9
"STS A,S" $10EFE6
"STS A,U" $10EFC6
"STS A,X" $10EF86
"STS A,Y" $10EFA6
"STS B,S" $10EFE5
"STS B,U" $10EFC5
"STS B,X" $10EF85
"STS B,Y" $10EFA5
"STS D,S" $10EFEB
"STS D,U" $10EFCB
"STS D,X" $10EF8B
"STS D,Y" $10EFAB
"STS s,S" $10EF60
"STS s,U" $10EF40
"STS s,X" $10EF00
"STS s,Y" $10EF20
"STS x" $10DF
"STS x,PCR" $10EF8C
"STS x,S" $10EFE8
"STS x,U" $10EFC8
"STS x,X" $10EF88
"STS x,Y" $10EFA8
"STS,--S" $10EFE3
"STS,--U" $10EFC3
"STS,--X" $10EF83
"STS,--Y" $10EFA3
"STS,-S" $10EFE2
"STS,-U" $10EFC2
"STS,-X" $10EF82
"STS,-Y" $10EFA2
"STS,S" $10EFE4
"STS,S+" $10EFE0
"STS,S++" $10EFE1
"STS,U" $10EFC4
"STS,U+" $10EFC0
"STS,U++" $10EFC1
"STS,X" $10EF84
"STS,X+" $10EF80
"STS,X++" $10EF81
"STS,Y" $10EFA4
"STS,Y+" $10EFA0
"STS,Y++" $10EFA1
"STU (,--S)" $EFF3
"STU (,--U)" $EFD3
"STU (,--X)" $EF93
"STU (,--Y)" $EFB3
"STU (,S)" $EFF4
"STU (,S++)" $EFF1
"STU (,U)" $EFD4
"STU (,U++)" $EFD1
"STU (,X)" $EF94
"STU (,X++)" $EF91
"STU (,Y)" $EFB4
"STU (,Y++)" $EFB1
"STU (?)" $EF9F
"STU (?,PCR)" $EF9D
"STU (?,S)" $EFF9
"STU (?,U)" $EFD9
"STU (?,X)" $EF99
"STU (?,Y)" $EFB9
"STU (A,S)" $EFF6
"STU (A,U)" $EFD6
"STU (A,X)" $EF96
"STU (A,Y)" $EFB6
"STU (B,S)" $EFF5
"STU (B,U)" $EFD5
"STU (B,X)" $EF95
"STU (B,Y)" $EFB5
"STU (D,S)" $EFFB
"STU (D,U)" $EFDB
"STU (D,X)" $EF9B
"STU (D,Y)" $EFBB
"STU (x,PCR)" $EF9C
"STU (x,S)" $EFF8
"STU (x,U)" $EFD8
"STU (x,X)" $EF98
"STU (x,Y)" $EFB8
"STU ?" $FF
"STU ?,PCR" $EF8D
"STU ?,S" $EFE9
"STU ?,U" $EFC9
"STU ?,X" $EF89
"STU ?,Y" $EFA9
"STU A,S" $EFE6
"STU A,U" $EFC6
"STU A,X" $EF86
"STU A,Y" $EFA6
"STU B,S" $EFE5
"STU B,U" $EFC5
"STU B,X" $EF85
"STU B,Y" $EFA5
"STU D,S" $EFEB
"STU D,U" $EFCB
"STU D,X" $EF8B
"STU D,Y" $EFAB
"STU s,S" $EF60
"STU s,U" $EF40
"STU s,X" $EF00
"STU s,Y" $EF20
"STU x" $DF
"STU x,PCR" $EF8C
"STU x,S" $EFE8
"STU x,U" $EFC8
"STU x,X" $EF88
"STU x,Y" $EFA8
"STU,--S" $EFE3
"STU,--U" $EFC3
"STU,--X" $EF83
"STU,--Y" $EFA3
"STU,-S" $EFE2
"STU,-U" $EFC2
"STU,-X" $EF82
"STU,-Y" $EFA2
"STU,S" $EFE4
"STU,S+" $EFE0
"STU,S++" $EFE1
"STU,U" $EFC4
"STU,U+" $EFC0
"STU,U++" $EFC1
"STU,X" $EF84
"STU,X+" $EF80
"STU,X++" $EF81
"STU,Y" $EFA4
"STU,Y+" $EFA0
"STU,Y++" $EFA1
"STX (,--S)" $AFF3
"STX (,--U)" $AFD3
"STX (,--X)" $AF93
"STX (,--Y)" $AFB3
"STX (,S)" $AFF4
"STX (,S++)" $AFF1
"STX (,U)" $AFD4
"STX (,U++)" $AFD1
"STX (,X)" $AF94
"STX (,X++)" $AF91
"STX (,Y)" $AFB4
"STX (,Y++)" $AFB1
"STX (?)" $AF9F
"STX (?,PCR)" $AF9D
"STX (?,S)" $AFF9
"STX (?,U)" $AFD9
"STX (?,X)" $AF99
"STX (?,Y)" $AFB9
"STX (A,S)" $AFF6
"STX (A,U)" $AFD6
"STX (A,X)" $AF96
"STX (A,Y)" $AFB6
"STX (B,S)" $AFF5
"STX (B,U)" $AFD5
"STX (B,X)" $AF95
"STX (B,Y)" $AFB5
"STX (D,S)" $AFFB
"STX (D,U)" $AFDB
"STX (D,X)" $AF9B
"STX (D,Y)" $AFBB
"STX (x,PCR)" $AF9C
"STX (x,S)" $AFF8
"STX (x,U)" $AFD8
"STX (x,X)" $AF98
"STX (x,Y)" $AFB8
"STX ?" $BF
"STX ?,PCR" $AF8D
"STX ?,S" $AFE9
"STX ?,U" $AFC9
"STX ?,X" $AF89
"STX ?,Y" $AFA9
"STX A,S" $AFE6
"STX A,U" $AFC6
"STX A,X" $AF86
"STX A,Y" $AFA6
"STX B,S" $AFE5
"STX B,U" $AFC5
"STX B,X" $AF85
"STX B,Y" $AFA5
"STX D,S" $AFEB
"STX D,U" $AFCB
"STX D,X" $AF8B
"STX D,Y" $AFAB
"STX s,S" $AF60
"STX s,U" $AF40
"STX s,X" $AF00
"STX s,Y" $AF20
"STX x" $9F
"STX x,PCR" $AF8C
"STX x,S" $AFE8
"STX x,U" $AFC8
"STX x,X" $AF88
"STX x,Y" $AFA8
"STX,--S" $AFE3
"STX,--U" $AFC3
"STX,--X" $AF83
"STX,--Y" $AFA3
"STX,-S" $AFE2
"STX,-U" $AFC2
"STX,-X" $AF82
"STX,-Y" $AFA2
"STX,S" $AFE4
"STX,S+" $AFE0
"STX,S++" $AFE1
"STX,U" $AFC4
"STX,U+" $AFC0
"STX,U++" $AFC1
"STX,X" $AF84
"STX,X+" $AF80
"STX,X++" $AF81
"STX,Y" $AFA4
"STX,Y+" $AFA0
"STX,Y++" $AFA1
"STY (,--S)" $10AFF3
"STY (,--U)" $10AFD3
"STY (,--X)" $10AF93
"STY (,--Y)" $10AFB3
"STY (,S)" $10AFF4
"STY (,S++)" $10AFF1
"STY (,U)" $10AFD4
"STY (,U++)" $10AFD1
"STY (,X)" $10AF94
"STY (,X++)" $10AF91
"STY (,Y)" $10AFB4
"STY (,Y++)" $10AFB1
"STY (?)" $10AF9F
"STY (?,PCR)" $10AF9D
"STY (?,S)" $10AFF9
"STY (?,U)" $10AFD9
"STY (?,X)" $10AF99
"STY (?,Y)" $10AFB9
"STY (A,S)" $10AFF6
"STY (A,U)" $10AFD6
"STY (A,X)" $10AF96
"STY (A,Y)" $10AFB6
"STY (B,S)" $10AFF5
"STY (B,U)" $10AFD5
"STY (B,X)" $10AF95
"STY (B,Y)" $10AFB5
"STY (D,S)" $10AFFB
"STY (D,U)" $10AFDB
"STY (D,X)" $10AF9B
"STY (D,Y)" $10AFBB
"STY (x,PCR)" $10AF9C
"STY (x,S)" $10AFF8
"STY (x,U)" $10AFD8
"STY (x,X)" $10AF98
"STY (x,Y)" $10AFB8
"STY ?" $10BF
"STY ?,PCR" $10AF8D
"STY ?,S" $10AFE9
"STY ?,U" $10AFC9
"STY ?,X" $10AF89
"STY ?,Y" $10AFA9
"STY A,S" $10AFE6
"STY A,U" $10AFC6
"STY A,X" $10AF86
"STY A,Y" $10AFA6
"STY B,S" $10AFE5
"STY B,U" $10AFC5
"STY B,X" $10AF85
"STY B,Y" $10AFA5
"STY D,S" $10AFEB
"STY D,U" $10AFCB
"STY D,X" $10AF8B
"STY D,Y" $10AFAB
"STY s,S" $10AF60
"STY s,U" $10AF40
"STY s,X" $10AF00
"STY s,Y" $10AF20
"STY x" $109F
"STY x,PCR" $10AF8C
"STY x,S" $10AFE8
"STY x,U" $10AFC8
"STY x,X" $10AF88
"STY x,Y" $10AFA8
"STY,--S" $10AFE3
"STY,--U" $10AFC3
"STY,--X" $10AF83
"STY,--Y" $10AFA3
"STY,-S" $10AFE2
"STY,-U" $10AFC2
"STY,-X" $10AF82
"STY,-Y" $10AFA2
"STY,S" $10AFE4
"STY,S+" $10AFE0
"STY,S++" $10AFE1
"STY,U" $10AFC4
"STY,U+" $10AFC0
"STY,U++" $10AFC1
"STY,X" $10AF84
"STY,X+" $10AF80
"STY,X++" $10AF81
"STY,Y" $10AFA4
"STY,Y+" $10AFA0
"STY,Y++" $10AFA1
"SUBA #x" $80
"SUBA (,--S)" $A0F3
"SUBA (,--U)" $A0D3
"SUBA (,--X)" $A093
"SUBA (,--Y)" $A0B3
"SUBA (,S)" $A0F4
"SUBA (,S++)" $A0F1
"SUBA (,U)" $A0D4
"SUBA (,U++)" $A0D1
"SUBA (,X)" $A094
"SUBA (,X++)" $A091
"SUBA (,Y)" $A0B4
"SUBA (,Y++)" $A0B1
"SUBA (?)" $A09F
"SUBA (?,PCR)" $A09D
"SUBA (?,S)" $A0F9
"SUBA (?,U)" $A0D9
"SUBA (?,X)" $A099
"SUBA (?,Y)" $A0B9
"SUBA (A,S)" $A0F6
"SUBA (A,U)" $A0D6
"SUBA (A,X)" $A096
"SUBA (A,Y)" $A0B6
"SUBA (B,S)" $A0F5
"SUBA (B,U)" $A0D5
"SUBA (B,X)" $A095
"SUBA (B,Y)" $A0B5
"SUBA (D,S)" $A0FB
"SUBA (D,U)" $A0DB
"SUBA (D,X)" $A09B
"SUBA (D,Y)" $A0BB
"SUBA (x,PCR)" $A09C
"SUBA (x,S)" $A0F8
"SUBA (x,U)" $A0D8
"SUBA (x,X)" $A098
"SUBA (x,Y)" $A0B8
"SUBA ?" $B0
"SUBA ?,PCR" $A08D
"SUBA ?,S" $A0E9
"SUBA ?,U" $A0C9
"SUBA ?,X" $A089
"SUBA ?,Y" $A0A9
"SUBA A,S" $A0E6
"SUBA A,U" $A0C6
"SUBA A,X" $A086
"SUBA A,Y" $A0A6
"SUBA B,S" $A0E5
"SUBA B,U" $A0C5
"SUBA B,X" $A085
"SUBA B,Y" $A0A5
"SUBA D,S" $A0EB
"SUBA D,U" $A0CB
"SUBA D,X" $A08B
"SUBA D,Y" $A0AB
"SUBA s,S" $A060
"SUBA s,U" $A040
"SUBA s,X" $A000
"SUBA s,Y" $A020
"SUBA x" $90
"SUBA x,PCR" $A08C
"SUBA x,S" $A0E8
"SUBA x,U" $A0C8
"SUBA x,X" $A088
"SUBA x,Y" $A0A8
"SUBA,--S" $A0E3
"SUBA,--U" $A0C3
"SUBA,--X" $A083
"SUBA,--Y" $A0A3
"SUBA,-S" $A0E2
"SUBA,-U" $A0C2
"SUBA,-X" $A082
"SUBA,-Y" $A0A2
"SUBA,S" $A0E4
"SUBA,S+" $A0E0
"SUBA,S++" $A0E1
"SUBA,U" $A0C4
"SUBA,U+" $A0C0
"SUBA,U++" $A0C1
"SUBA,X" $A084
"SUBA,X+" $A080
"SUBA,X++" $A081
"SUBA,Y" $A0A4
"SUBA,Y+" $A0A0
"SUBA,Y++" $A0A1
"SUBB #x" $C0
"SUBB (,--S)" $E0F3
"SUBB (,--U)" $E0D3
"SUBB (,--X)" $E093
"SUBB (,--Y)" $E0B3
"SUBB (,S)" $E0F4
"SUBB (,S++)" $E0F1
"SUBB (,U)" $E0D4
"SUBB (,U++)" $E0D1
"SUBB (,X)" $E094
"SUBB (,X++)" $E091
"SUBB (,Y)" $E0B4
"SUBB (,Y++)" $E0B1
"SUBB (?)" $E09F
"SUBB (?,PCR)" $E09D
"SUBB (?,S)" $E0F9
"SUBB (?,U)" $E0D9
"SUBB (?,X)" $E099
"SUBB (?,Y)" $E0B9
"SUBB (A,S)" $E0F6
"SUBB (A,U)" $E0D6
"SUBB (A,X)" $E096
"SUBB (A,Y)" $E0B6
"SUBB (B,S)" $E0F5
"SUBB (B,U)" $E0D5
"SUBB (B,X)" $E095
"SUBB (B,Y)" $E0B5
"SUBB (D,S)" $E0FB
"SUBB (D,U)" $E0DB
"SUBB (D,X)" $E09B
"SUBB (D,Y)" $E0BB
"SUBB (x,PCR)" $E09C
"SUBB (x,S)" $E0F8
"SUBB (x,U)" $E0D8
"SUBB (x,X)" $E098
"SUBB (x,Y)" $E0B8
"SUBB ?" $F0
"SUBB ?,PCR" $E08D
"SUBB ?,S" $E0E9
"SUBB ?,U" $E0C9
"SUBB ?,X" $E089
"SUBB ?,Y" $E0A9
"SUBB A,S" $E0E6
"SUBB A,U" $E0C6
"SUBB A,X" $E086
"SUBB A,Y" $E0A6
"SUBB B,S" $E0E5
"SUBB B,U" $E0C5
"SUBB B,X" $E085
"SUBB B,Y" $E0A5
"SUBB D,S" $E0EB
"SUBB D,U" $E0CB
"SUBB D,X" $E08B
"SUBB D,Y" $E0AB
"SUBB s,S" $E060
"SUBB s,U" $E040
"SUBB s,X" $E000
"SUBB s,Y" $E020
"SUBB x" $D0
"SUBB x,PCR" $E08C
"SUBB x,S" $E0E8
"SUBB x,U" $E0C8
"SUBB x,X" $E088
"SUBB x,Y" $E0A8
"SUBB,--S" $E0E3
"SUBB,--U" $E0C3
"SUBB,--X" $E083
"SUBB,--Y" $E0A3
"SUBB,-S" $E0E2
"SUBB,-U" $E0C2
"SUBB,-X" $E082
"SUBB,-Y" $E0A2
"SUBB,S" $E0E4
"SUBB,S+" $E0E0
"SUBB,S++" $E0E1
"SUBB,U" $E0C4
"SUBB,U+" $E0C0
"SUBB,U++" $E0C1
"SUBB,X" $E084
"SUBB,X+" $E080
"SUBB,X++" $E081
"SUBB,Y" $E0A4
"SUBB,Y+" $E0A0
"SUBB,Y++" $E0A1
"SUBD #x" $83
"SUBD (,--S)" $A3F3
"SUBD (,--U)" $A3D3
"SUBD (,--X)" $A393
"SUBD (,--Y)" $A3B3
"SUBD (,S)" $A3F4
"SUBD (,S++)" $A3F1
"SUBD (,U)" $A3D4
"SUBD (,U++)" $A3D1
"SUBD (,X)" $A394
"SUBD (,X++)" $A391
"SUBD (,Y)" $A3B4
"SUBD (,Y++)" $A3B1
"SUBD (?)" $A39F
"SUBD (?,PCR)" $A39D
"SUBD (?,S)" $A3F9
"SUBD (?,U)" $A3D9
"SUBD (?,X)" $A399
"SUBD (?,Y)" $A3B9
"SUBD (A,S)" $A3F6
"SUBD (A,U)" $A3D6
"SUBD (A,X)" $A396
"SUBD (A,Y)" $A3B6
"SUBD (B,S)" $A3F5
"SUBD (B,U)" $A3D5
"SUBD (B,X)" $A395
"SUBD (B,Y)" $A3B5
"SUBD (D,S)" $A3FB
"SUBD (D,U)" $A3DB
"SUBD (D,X)" $A39B
"SUBD (D,Y)" $A3BB
"SUBD (x,PCR)" $A39C
"SUBD (x,S)" $A3F8
"SUBD (x,U)" $A3D8
"SUBD (x,X)" $A398
"SUBD (x,Y)" $A3B8
"SUBD ?" $B3
"SUBD ?,PCR" $A38D
"SUBD ?,S" $A3E9
"SUBD ?,U" $A3C9
"SUBD ?,X" $A389
"SUBD ?,Y" $A3A9
"SUBD A,S" $A3E6
"SUBD A,U" $A3C6
"SUBD A,X" $A386
"SUBD A,Y" $A3A6
"SUBD B,S" $A3E5
"SUBD B,U" $A3C5
"SUBD B,X" $A385
